@RELATION auto-sklearn_ALGORITHM_RUNS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE algorithm STRING
@ATTRIBUTE precision_weighted NUMERIC
@ATTRIBUTE runstatus {ok, timeout, memout, not_applicable, crash, other}

@DATA
2120,1.0,1,0.08327924049593405,ok
75193,1.0,2,0.05878462579762311,ok
2117,1.0,3,0.14105028376880946,ok
75156,1.0,4,0.20872478998609523,ok
75129,1.0,5,0.08889875768917221,ok
75243,1.0,6,0.0,ok
75110,1.0,7,0.10989958901006858,ok
75239,1.0,8,0.0,ok
75223,1.0,9,0.12272095823328277,ok
75221,1.0,10,0.40994267090423375,ok
258,1.0,11,0.007485163114686055,ok
75121,1.0,12,0.0,ok
253,1.0,13,0.4009777202348387,ok
261,1.0,14,0.2343663530713891,ok
75168,1.0,15,0.12391699070096684,ok
75240,1.0,16,0.020502356280950318,ok
75120,1.0,17,0.04073895404524097,ok
75124,1.0,18,0.08425334653495431,ok
75176,1.0,19,0.01583669713529856,ok
75103,1.0,20,0.007279681762546009,ok
75207,1.0,21,0.15733215458257466,ok
75095,1.0,22,0.013517649200743276,ok
273,1.0,23,0.04273280362037968,ok
75174,1.0,24,0.10992248399994275,ok
75153,1.0,25,0.09466113567072165,ok
75093,1.0,26,0.20971294577704325,ok
75119,1.0,27,0.036209552348289376,ok
75201,1.0,28,0.07916875089864839,ok
75215,1.0,29,0.027028469269992916,ok
75172,1.0,30,0.09434135191926796,ok
75169,1.0,31,0.03634192402561465,ok
75202,1.0,32,0.1462951103644301,ok
75233,1.0,33,0.06668729376848181,ok
75231,1.0,34,0.12750896057347672,ok
75196,1.0,35,0.007611212374993959,ok
248,1.0,36,0.22457630619329805,ok
75191,1.0,37,0.128490998530841,ok
75217,1.0,38,0.0,ok
260,1.0,39,0.02718911315147221,ok
75115,1.0,40,0.015452939525515519,ok
75123,1.0,41,0.3066442050461856,ok
75108,1.0,42,0.0,ok
75101,1.0,43,0.2798106308728139,ok
75192,1.0,44,0.47021320556721813,ok
75232,1.0,45,0.13393534262301132,ok
75173,1.0,46,0.11782020514983771,ok
75197,1.0,47,0.15339871072506284,ok
266,1.0,48,0.016932186751465683,ok
75148,1.0,49,0.1317935140883698,ok
75150,1.0,50,0.25811078140455,ok
75100,1.0,51,0.005037875391209146,ok
75178,1.0,52,0.7424386089606878,ok
75236,1.0,53,0.030007854136411827,ok
75179,1.0,54,0.1662905300833194,ok
75213,1.0,55,0.06121318168562251,ok
2123,1.0,56,0.05691759221170978,ok
75227,1.0,57,0.09672496864717472,ok
75184,1.0,58,0.09752506616597045,ok
75142,1.0,59,0.06989307696713998,ok
236,1.0,60,0.03102146544322526,ok
2122,1.0,61,0.11074317474321549,ok
75188,1.0,62,0.12765390993064085,ok
75166,1.0,63,0.09192371412591982,ok
75181,1.0,64,0.0,ok
75133,1.0,65,0.006348468928913498,ok
75134,1.0,66,0.09818277405911402,ok
75198,1.0,67,0.11949353907330562,ok
262,1.0,68,0.0024805637249869505,ok
75234,1.0,69,0.024088457176147382,ok
75139,1.0,70,0.012121212121212088,ok
252,1.0,71,0.15903489930644277,ok
75117,1.0,72,0.05416116997267817,ok
75113,1.0,73,0.004898808520859443,ok
75098,1.0,74,0.024760931852193746,ok
246,1.0,75,0.00896948313782997,ok
75203,1.0,76,0.09523200812720545,ok
75237,1.0,77,0.0004324536695374803,ok
75195,1.0,78,0.0006678950387366545,ok
75171,1.0,79,0.1637872648602844,ok
75128,1.0,80,0.020581001880838667,ok
75096,1.0,81,0.09403785827175748,ok
75250,1.0,82,0.3170913241708778,ok
75146,1.0,83,0.11244840161933511,ok
75116,1.0,84,0.00955972298842811,ok
75157,1.0,85,0.4436031394473936,ok
75187,1.0,86,0.02043311028082606,ok
